dataset,minsup_pct,time_basic_ms,mem_basic_mb,time_opt_ms,mem_opt_mb,speedup,consistent
db1,50.0,0.02,0.0032,0.02,0.0047,1.21,Yes
db2,40.0,0.01,0.0045,0.02,0.0068,0.54,Yes
db3,50.0,0.03,0.0208,0.1,0.0333,0.28,Yes
db4,40.0,0.04,0.0039,0.02,0.0062,2.55,Yes
db5,50.0,0.03,0.0182,0.04,0.0309,0.67,Yes
chess,80.0,1911.23,9.8756,3.56246293e6,862449.6908,0.0,No
mushroom,30.0,4729.51,63.8257,655538.5,122430.4408,0.01,No
retail,1.0,69.6,1.7812,2279.0,151.5524,0.03,No
accidents,60.0,832.3,4.4593,5.11438176e6,1.1169928344e6,0.0,No
T10I4D100K,2.0,6486.66,3.8587,5810.92,217.123,1.12,No
